Time,Event context,Component,Event name,Description,Origin,IP address
"14/09/17, 14:56",Forum: Forum,Forum,Course module viewed,The user with id '79398' viewed the 'forum' activity with course module id '342033'.,web,90.191.83.102
"14/09/17, 14:56",Forum: Forum,Forum,Discussion subscription created,The user with id '79398' subscribed the user with id '79398' to the discussion  with id '328902' in the forum with the course module id '342033'.,web,90.191.83.102
"14/09/17, 14:56",Forum: Forum,Forum,Discussion created,The user with id '79398' has created the discussion with id '328902' in the forum with course module id '342033'.,web,90.191.83.102
"14/09/17, 14:56",Forum: Forum,Forum,Some content has been posted.,The user with id '79398' has posted content in the forum post with id '875960' in the discussion '328902' located in the forum with course module id '342033'.,web,90.191.83.102
"14/09/17, 14:55",Forum: Forum,Forum,Discussion viewed,The user with id '79398' has viewed the discussion with id '328901' in the forum with course module id '342033'.,web,90.191.83.102
"14/09/17, 14:54",Forum: Forum,Forum,Course module viewed,The user with id '79398' viewed the 'forum' activity with course module id '342033'.,web,90.191.83.102
"14/09/17, 14:54","Course: Technology Use in Education (SVHI.06.010), AÜ",System,Course viewed,The user with id '79398' viewed the course with id '4880'.,web,90.191.83.102
"14/09/17, 14:54",Forum: Forum,Forum,Course module viewed,The user with id '79398' viewed the 'forum' activity with course module id '342033'.,web,90.191.83.102
"14/09/17, 14:54",Forum: Forum,Forum,Discussion subscription created,The user with id '79398' subscribed the user with id '79398' to the discussion  with id '328901' in the forum with the course module id '342033'.,web,90.191.83.102
"14/09/17, 14:54",Forum: Forum,Forum,Discussion created,The user with id '79398' has created the discussion with id '328901' in the forum with course module id '342033'.,web,90.191.83.102
"14/09/17, 14:54",Forum: Forum,Forum,Some content has been posted.,The user with id '79398' has posted content in the forum post with id '875957' in the discussion '328901' located in the forum with course module id '342033'.,web,90.191.83.102
"14/09/17, 14:53",Forum: Forum,Forum,Course module viewed,The user with id '79398' viewed the 'forum' activity with course module id '342033'.,web,90.191.83.102
"14/09/17, 14:53","Course: Technology Use in Education (SVHI.06.010), AÜ",System,Course viewed,The user with id '79398' viewed the course with id '4880'.,web,90.191.83.102
"14/09/17, 14:53","Course: Technology Use in Education (SVHI.06.010), AÜ",System,Course viewed,The user with id '79398' viewed the course with id '4880'.,web,90.191.83.102
"14/09/17, 14:53",Forum: Forum,System,Course module created,The user with id '79398' created the 'forum' activity with course module id '342033'.,web,90.191.83.102
"14/09/17, 14:52",Other,System,Course module deleted,The user with id '79398' deleted the 'forum' activity with course module id '338380'.,web,90.191.83.102
"14/09/17, 14:52","Course: Technology Use in Education (SVHI.06.010), AÜ",Recycle bin,Item created,Item created with ID 18634.,web,90.191.83.102
"14/09/17, 14:52",Other,System,Course module updated,The user with id '79398' updated the 'forum' activity with course module id '338380'.,web,90.191.83.102
"14/09/17, 14:52","Course: Technology Use in Education (SVHI.06.010), AÜ",System,Course viewed,The user with id '79398' viewed the course with id '4880'.,web,90.191.83.102
"14/09/17, 13:47",URL: Slides on the assignment,URL,Course module viewed,The user with id '79398' viewed the 'url' activity with course module id '316788'.,web,90.191.83.102
"14/09/17, 13:45","Course: Technology Use in Education (SVHI.06.010), AÜ",System,Course viewed,The user with id '79398' viewed the course with id '4880'.,web,90.191.83.102
"14/09/17, 13:42",Other,BigBlueButtonBN,BigBlueButtonBN meeting joined,The user with id '' has joined a bigbluebutton meeting for the bigbluebuttonbn activity with id '' for the course id ''.,web,90.191.83.102
"14/09/17, 13:42",Other,BigBlueButtonBN,BigBlueButtonBN meeting created,The user with id '' created a bigbluebutton meeting forthe bigbluebuttonbn activity with id '' for the course id ''.,web,90.191.83.102
"14/09/17, 13:42",Other,BigBlueButtonBN,BigBlueButtonBN activity viewed,The user with id '' viewed the bigbluebuttonbn activity with id '' for the course id ''.,web,90.191.83.102
"14/09/17, 13:42","Course: Technology Use in Education (SVHI.06.010), AÜ",System,Course viewed,The user with id '79398' viewed the course with id '4880'.,web,90.191.83.102
"13/09/17, 14:57","Course: Technology Use in Education (SVHI.06.010), AÜ",System,Course viewed,The user with id '79398' viewed the course with id '4880'.,web,90.191.83.102
"13/09/17, 14:13",Other,BigBlueButtonBN,BigBlueButtonBN meeting joined,The user with id '' has joined a bigbluebutton meeting for the bigbluebuttonbn activity with id '' for the course id ''.,web,90.191.83.102
"13/09/17, 14:13",Other,BigBlueButtonBN,BigBlueButtonBN meeting created,The user with id '' created a bigbluebutton meeting forthe bigbluebuttonbn activity with id '' for the course id ''.,web,90.191.83.102
"13/09/17, 14:12",Other,BigBlueButtonBN,BigBlueButtonBN meeting joined,The user with id '' has joined a bigbluebutton meeting for the bigbluebuttonbn activity with id '' for the course id ''.,web,90.191.83.102
"13/09/17, 14:12",Other,BigBlueButtonBN,BigBlueButtonBN meeting created,The user with id '' created a bigbluebutton meeting forthe bigbluebuttonbn activity with id '' for the course id ''.,web,90.191.83.102
"13/09/17, 14:12",Other,BigBlueButtonBN,BigBlueButtonBN activity viewed,The user with id '' viewed the bigbluebuttonbn activity with id '' for the course id ''.,web,90.191.83.102
"13/09/17, 14:11","Course: Technology Use in Education (SVHI.06.010), AÜ",System,Course viewed,The user with id '79398' viewed the course with id '4880'.,web,90.191.83.102
"13/09/17, 14:10",URL: Slides on the assignment,URL,Course module viewed,The user with id '79398' viewed the 'url' activity with course module id '316788'.,web,90.191.83.102
"13/09/17, 14:09",URL: Slides on the assignment,URL,Course module viewed,The user with id '79398' viewed the 'url' activity with course module id '316788'.,web,90.191.83.102
"13/09/17, 14:08",URL: Slides on the assignment,URL,Course module viewed,The user with id '79398' viewed the 'url' activity with course module id '316788'.,web,90.191.83.102
"13/09/17, 13:59","Course: Technology Use in Education (SVHI.06.010), AÜ",System,Course viewed,The user with id '79398' viewed the course with id '4880'.,web,90.191.83.102
"13/09/17, 13:57","Course: Technology Use in Education (SVHI.06.010), AÜ",System,Course viewed,The user with id '79398' viewed the course with id '4880'.,web,90.191.83.102
"12/09/17, 20:49","Course: Technology Use in Education (SVHI.06.010), AÜ",System,Course viewed,The user with id '79398' viewed the course with id '4880'.,web,90.191.83.102
"11/09/17, 21:17","Course: Technology Use in Education (SVHI.06.010), AÜ",System,Course viewed,The user with id '79398' viewed the course with id '4880'.,web,90.191.83.102
"11/09/17, 21:16","Course: Technology Use in Education (SVHI.06.010), AÜ",System,Course viewed,The user with id '79398' viewed the course with id '4880'.,web,90.191.83.102
"11/09/17, 21:16","Course: Technology Use in Education (SVHI.06.010), AÜ",System,Course section updated,The user with id '79398' updated section number '4' for the course with id '4880',web,90.191.83.102
"11/09/17, 21:16","Course: Technology Use in Education (SVHI.06.010), AÜ",System,Course viewed,The user with id '79398' viewed the course with id '4880'.,web,90.191.83.102
"11/09/17, 21:16","Course: Technology Use in Education (SVHI.06.010), AÜ",System,Course viewed,The user with id '79398' viewed the course with id '4880'.,web,90.191.83.102
"11/09/17, 21:15",Other,BigBlueButtonBN,BigBlueButtonBN activity viewed,The user with id '' viewed the bigbluebuttonbn activity with id '' for the course id ''.,web,90.191.83.102
"11/09/17, 21:07",URL: Slides on the assignment,URL,Course module viewed,The user with id '79398' viewed the 'url' activity with course module id '316788'.,web,90.191.83.102
"11/09/17, 21:06",URL: Presentation,URL,Course module viewed,The user with id '79398' viewed the 'url' activity with course module id '317907'.,web,90.191.83.102
"11/09/17, 21:06","Course: Technology Use in Education (SVHI.06.010), AÜ",System,Course viewed,The user with id '79398' viewed the course with id '4880'.,web,90.191.83.102
"11/09/17, 21:01",URL: Slides on the assignment,URL,Course module viewed,The user with id '79398' viewed the 'url' activity with course module id '316788'.,web,90.191.83.102
"11/09/17, 21:01",URL: Presentation,URL,Course module viewed,The user with id '79398' viewed the 'url' activity with course module id '316779'.,web,90.191.83.102
"11/09/17, 21:00","Course: Technology Use in Education (SVHI.06.010), AÜ",System,Course viewed,The user with id '79398' viewed the course with id '4880'.,web,90.191.83.102
"11/09/17, 21:00","Course: Technology Use in Education (SVHI.06.010), AÜ",System,Course viewed,The user with id '79398' viewed the course with id '4880'.,web,90.191.83.102
"11/09/17, 21:00","Course: Technology Use in Education (SVHI.06.010), AÜ",System,Course section updated,The user with id '79398' updated section number '4' for the course with id '4880',web,90.191.83.102
"11/09/17, 20:59","Course: Technology Use in Education (SVHI.06.010), AÜ",System,Course viewed,The user with id '79398' viewed the course with id '4880'.,web,90.191.83.102
"11/09/17, 20:59","Course: Technology Use in Education (SVHI.06.010), AÜ",System,Course section updated,The user with id '79398' updated section number '4' for the course with id '4880',web,90.191.83.102
"11/09/17, 20:53","Course: Technology Use in Education (SVHI.06.010), AÜ",System,Course viewed,The user with id '79398' viewed the course with id '4880'.,web,90.191.83.102
"11/09/17, 20:53",Other,System,Course module created,The user with id '79398' created the 'bigbluebuttonbn' activity with course module id '338381'.,web,90.191.83.102
"11/09/17, 20:52","Course: Technology Use in Education (SVHI.06.010), AÜ",System,Course viewed,The user with id '79398' viewed the course with id '4880'.,web,90.191.83.102
"11/09/17, 20:52",Other,System,Course module created,The user with id '79398' created the 'forum' activity with course module id '338380'.,web,90.191.83.102
"11/09/17, 20:52","Course: Technology Use in Education (SVHI.06.010), AÜ",System,Course viewed,The user with id '79398' viewed the course with id '4880'.,web,90.191.83.102
"11/09/17, 20:52","Course: Technology Use in Education (SVHI.06.010), AÜ",System,Course section updated,The user with id '79398' updated section number '5' for the course with id '4880',web,90.191.83.102
"11/09/17, 20:51","Course: Technology Use in Education (SVHI.06.010), AÜ",System,Course viewed,The user with id '79398' viewed the course with id '4880'.,web,90.191.83.102
"11/09/17, 20:49","Course: Technology Use in Education (SVHI.06.010), AÜ",System,Course viewed,The user with id '79398' viewed the course with id '4880'.,web,90.191.83.102
"11/09/17, 14:36","Course: Technology Use in Education (SVHI.06.010), AÜ",System,Course viewed,The user with id '79398' viewed the course with id '4880'.,web,90.191.83.102
"10/09/17, 19:16","Course: Technology Use in Education (SVHI.06.010), AÜ",System,Course viewed,The user with id '79398' viewed the course with id '4880'.,web,90.191.83.102
